timestamp;product_id;total_price;quantity;payment_method
2024-11-27 14:47:37.871479;a90eaff4-e8bd-400f-a4b9-63cc6e0bcb54;672.55;5;Наличные
2025-01-16 04:40:42.804088;f3dc17fc-f9fe-4beb-93f4-a27a02adb152;608.55;5;Qr-код
2025-01-13 06:51:25.062189;e9aa2886-0ba0-4b7a-96dc-078855f99872;279.1;2;Наличные
2025-01-21 09:47:54.903002;50c6dd4f-70f2-4ec1-a80c-0fc0069f08c2;192.14;1;Карта
2025-02-02 16:49:46.108729;e7cf5f27-b23e-484a-8a9f-6dc67503a89a;351.36;2;Наличные
2024-04-30 14:21:42.470640;acdfa29d-f642-4ba7-939a-0c8262ff7c41;99.06;2;Qr-код
2024-10-27 10:25:01.244258;4b5016ea-81a5-4ba4-97c2-5ff98123bac3;163.36;2;Карта
2024-12-18 13:27:48.409737;a90eaff4-e8bd-400f-a4b9-63cc6e0bcb54;403.53;3;Карта
2024-04-27 01:39:03.073606;31995494-84d0-4cc8-8765-df869685e234;303.08;4;Карта
2024-08-23 06:36:30.671468;cca932b0-81f0-45a1-9af7-8fe57aa1873e;645.08;4;Qr-код
2025-03-10 21:09:02.219013;836b11ff-ec22-4433-8f72-11ce31d21bd7;150.16;1;Наличные
2024-09-09 05:06:19.985226;3f9de4b4-8188-4bd9-8a98-55c4b27af3a9;158.96;2;Qr-код
2024-08-06 20:10:59.228587;bb2999ed-c6ae-4172-9343-60b1d1b7bd1f;623.48;4;Qr-код
2024-11-26 13:50:48.573074;514fef90-eb36-454f-968c-a02b1dbcf7d8;81.2;1;Наличные
2024-11-10 22:26:34.302822;bb2999ed-c6ae-4172-9343-60b1d1b7bd1f;467.61;3;Qr-код
2024-07-28 18:30:49.731946;31995494-84d0-4cc8-8765-df869685e234;227.31;3;Наличные
2024-05-09 19:14:55.198546;f6ffc6f0-c513-449c-bcc7-66505087e4f6;162.95;5;Карта
2024-09-27 13:43:08.026810;2c90df73-2310-4499-bd86-701ee38b0974;196.52;4;Карта
2024-08-17 23:02:06.796397;fa4180fd-2756-4f01-aaa0-aa051c939b1a;537.5;5;Карта
2024-07-29 08:54:31.572780;65c81bfc-a283-4a14-a8f7-60800963d5b7;494.64;4;Наличные
2024-10-30 19:50:22.569082;121d56e4-dc5b-43c3-8658-d1a00f8cbf76;91.06;2;Наличные
2024-05-23 02:48:43.412208;e8c1eb57-f3f2-48ad-b65f-b3cb39617849;181.28;1;Карта
2025-03-01 12:21:12.615944;8aba3e58-49f7-44f0-9f7b-f8ad1cd570dc;390.06;2;Qr-код
2024-04-22 23:02:03.463577;31995494-84d0-4cc8-8765-df869685e234;75.77;1;Карта
2024-05-14 10:18:27.273029;836b11ff-ec22-4433-8f72-11ce31d21bd7;150.16;1;Qr-код
2024-09-28 02:20:57.040801;224cdcde-36ee-45da-9ae5-2588df8f96fb;274.28;4;Qr-код
2024-08-24 16:53:01.238351;075ac323-7649-44e8-bbff-60cbda965c47;133.4;1;Карта
2025-01-02 18:10:06.487023;e4cb82db-3355-4fef-b410-fab99949cb04;74.8;2;Наличные
2025-03-17 08:55:05.941522;f6ffc6f0-c513-449c-bcc7-66505087e4f6;97.77;3;Наличные
2024-09-24 05:59:56.607662;121d56e4-dc5b-43c3-8658-d1a00f8cbf76;182.12;4;Qr-код
2025-03-30 01:59:16.079005;bb2999ed-c6ae-4172-9343-60b1d1b7bd1f;155.87;1;Qr-код
2024-08-07 12:40:14.516146;c3737840-6332-4bc6-b5bc-80f92f074f58;124.51;1;Карта
2024-04-21 18:28:21.727000;db33e8df-278c-472c-a45a-c3ddb7374b3a;361.15;5;Qr-код
2024-07-15 00:37:10.597080;50c6dd4f-70f2-4ec1-a80c-0fc0069f08c2;768.56;4;Qr-код
2024-04-15 14:57:32.884329;65c81bfc-a283-4a14-a8f7-60800963d5b7;494.64;4;Наличные
2024-10-02 07:53:11.018382;1570c922-d706-46a4-bc41-329483be4822;340.16;2;Наличные
2024-12-20 23:51:59.883598;afeeb9f2-2b7c-45c9-a063-b4a0d44dbb48;789.45;5;Qr-код
